"title","full_address","email","affiliations","type","established","phone"
"Shree Buddha Himalaya Secondary School","Majhi Feda, Chaurideurali-3, Kavrepalanchok","N/A","National Examinations Board","Public","N/A","N/A"
"Bhagawati Basic School","Ritha Bansi, Mahabu-3, Dailekh","N/A","N/A","Public","N/A","N/A"
"Shree Mahendra Secondary School","Likhukaule, Shivapuri-3, Nuwakot","N/A","National Examinations Board","Public","2016 BS","984-1246330"
"Nile Stream Secondary School","Sanepa-2, Lalitpur","N/A","N/A","Private","N/A","01-5528245, 9841241024"
"Jaycee Bal Sansar English Medium School","Nepalgunj, Banke","N/A","N/A","Private","N/A","N/A"
"Bp Basic School","Duhabi-10, Sunsari","N/A","N/A","Public","N/A","N/A"
"Janabikas Aadharbhut Vidyalaya","Burunge, Bheri-8, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School","Tejipur, Gulariya-3, Bardiya","N/A","N/A","Public","N/A","N/A"
"Kaileshwar Secondary School","Gupteshwar, Umakunda-6, Ramechhap","N/A","N/A","Public","N/A","048-690173"
"Surya Jyoti Secondary School Harre","Harre, Bheriganga-4, Surkhet","N/A","N/A","Public","N/A","N/A"
"Ni Secondary School Baseri","Baseri, Hariharpurgadhi-1, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Basic School Kendra","Gorakhali, Rajbiraj-6, Saptari","N/A","N/A","Public","N/A","N/A"
"Thulakot Secondary School","Thulakot, Himali-2, Bajura","N/A","N/A","Public","N/A","N/A"
"Small Heaven Academy","Hajarbigha, Haripur-1, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Rajdevi Academy English Boarding School","Ramdaiya Bhawadi, Kshireshwornath, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Kundala Devi Secondary School","Katunje, Netrawati Dabjong-4, Dhading","N/A","National Examinations Board","Public","N/A","N/A"
"Gajuri Pinda Secondary School","Bhimsensthan, Gajuri-5, Dhading","N/A","National Examinations Board","Public","N/A","N/A"
"Basic School Harigaurigama","Gourigama-6, Mahottari","N/A","N/A","Public","N/A","N/A"
"Shree Rastriya Basic School","Rauja, Balwa-11, Mahottari","N/A","N/A","Public","N/A","N/A"
"Swami Parmananda Basic School","Chhedapur, Gulariya-1, Bardiya","N/A","N/A","Public","N/A","N/A"
"Janachetana Basic School","Lupud, Sigas-8, Baitadi","N/A","N/A","Public","N/A","N/A"
"Bhuwaneshwori Basic School","Arjham, Airawati-3, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Thoree Academy","Thori, Parsa","N/A","N/A","Private","N/A","N/A"
"Siddhartha Basic School Kaphaldada","Kaphaldanda, Bagchaur-4, Salyan","N/A","N/A","Public","N/A","N/A"
"National Basic School, Shirkot","Namuna Bikash, Rapti-7, Chitwan","N/A","N/A","Public","N/A","N/A"
"Kerkha Public School","Kamal-3, Jhapa","N/A","N/A","Public","N/A","N/A"
"Galkot English Secondary School","Malma, Galkot-7, Baglung","N/A","N/A","Private","N/A","N/A"
"Future Academy English School","Hardi, Palhinandan-5, Parasi","N/A","N/A","Private","N/A","N/A"
"Maa Bhagawati Globle Boarding School","Bhagawanpur-4, Siraha","N/A","N/A","Religious","N/A","N/A"
"Phaiwa Secondary School","Kerabari-2, Morang","N/A","N/A","Public","N/A","N/A"
"Balkrishna Basic School","Sabaila-6, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Basic School Pakadiya Inarwa","Pakadiya Inarwa, Pacharauta-9, Bara","N/A","N/A","Public","N/A","N/A"
"Neighbourhood English Boarding School","Mandikhatar, Budhanilakantha-9, Kathmandu","N/A","N/A","Private","N/A","01-4373972"
"Glory English School","Madhyapur Thimi-9, Bhaktapur","N/A","N/A","Private","N/A","N/A"
"Blue Line Horizon English Boarding School","Triyuga-5, Udayapur","N/A","N/A","Private","N/A","N/A"
"Rastriya Secondary School","Lakadmandi, Joshipur-1, Kailali","N/A","N/A","Public","N/A","N/A"
"Adarsha Basic School","Junichande-9, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Mahendra Jyoti Secondary School","Lukhu, Deurali, Mahashila-5, Parbat","N/A","National Examinations Board, CTEVT","Public","N/A","N/A"
"Blue Horizon English Boarding School","Mainihawa-8, Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Parwati Basic School","Dharampaniya-7, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Gaura Secondary School","Thada, Rajiya, Shitaganga-12, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Agleshwor Secondary School","Himipokhari, Sunapati-2, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Active Greenland English Boarding School","Anbukhaireni-3, Tanahun","N/A","National Examinations Board","Private","N/A","N/A"
"Hillside English Medium School","Dullu, Dailekh","N/A","N/A","Private","N/A","N/A"
"Sharada Secondary School","Dhikura, Bhumikasthan-9, Arghakhanchi","N/A","N/A","Public","N/A","9847362097"
"New Future English Boarding School","Keruniya, Lamahi-2, Dang","N/A","N/A","Private","N/A","N/A"
"Punya Smarika Basic School","Tinghare, Suryodaya-11, Ilam","N/A","N/A","Public","N/A","N/A"
"Shree Shree Ram Basic School","Birendrapur, Godawari-11, Kailali","N/A","N/A","Public","N/A","N/A"
"Creation Academy","Sahayoginagar-32, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Batika International Public School","Tumdani, Bheemdatt-9, Kanchanpur","N/A","N/A","Private","N/A","N/A"
"Himalaya Devi Basic School","Sirpachaur, Barekot-1, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Laxmi Narayan Basic School","Salaura, Dangisharan-5, Dang","N/A","N/A","Public","N/A","N/A"
"Saraswati Secondary School","Musikot-1, Gulmi","N/A","N/A","Public","N/A","N/A"
"Basic School Saranpur","Saranpur, Bharatpur-16, Chitwan","N/A","N/A","Public","N/A","N/A"
"Child Care Shishu Sadan","Janakpur, Janakpurdham, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Shree Maa Sharde Basic School Mudwalawa","Mudwalawa, Rajdevi-3, Rautahat","N/A","N/A","Public","N/A","N/A"
"Rising Star English Boarding School, Dedhgaun","Dedhgaun, Baudikali-2, Nawalpur","N/A","N/A","Private","N/A","N/A"
"Paragon Public English School","Janakpurdham-4, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Happy Home Baby Day Care","Gopiganj, Pratappur-2, Parasi","N/A","N/A","Private","N/A","N/A"
"Aa Vi Kathkolwa Basbitta","Basbitta-6, Siraha","N/A","N/A","Public","N/A","N/A"
"Gyan Sagar English Boarding School","Gaushala-8, Mahottari","N/A","N/A","Private","N/A","N/A"
"Gupteshwor Basic School","Pauwachaur, Konjyosom-5, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Fuhilal Basic School, Lohana","Lohana, Janakpurdham-25, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Shree Janata Basic (0-5) School Dhirapur","Dhirapur, Matihani-1, Mahottari","N/A","N/A","Public","N/A","N/A"
"Biddhyodaya Secondary School","Okharbote, Dorpa, Diktel Rupakot Majhuwagadhi-7, Khotang","N/A","National Examinations Board","Public","N/A","9741048781"
"Pancharatna Bal Batika English Boarding School","Khahare, Dakshinkali-1, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Kurumba Secondary School","Kurumba, Miklajung-5, Panchthar","N/A","N/A","Public","N/A","N/A"
"Bigyan English Boarding School","Mandikhatar, Budhanilakantha-9, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Jyoti Secondary School","Rajapani, Halesi Tuwachung-11, Khotang","N/A","N/A","Public","N/A","N/A"
"Zenith English School","Kanepokhari-6, Morang","N/A","N/A","Private","N/A","N/A"
"Modern English School","Bhadrapur-6, Jhapa","N/A","N/A","Private","N/A","N/A"
"Saraswati Secondary School","Bungtang, Myagang-2, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Buddha Light English Boarding School","Lumbini Sanskritik-1, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Nepal Rashtriya Aadharbhut School","Mudali, Kalikamai-1, Parsa","N/A","N/A","Public","N/A","N/A"
"Basic School Deuriya","Deuriya, Paterwa Sugauli-5, Parsa","N/A","N/A","Public","N/A","N/A"
"Gautam Basic School","Gogdi, Binayi Tribeni-4, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Saraswati Secondary School","Khaireni, Purbakhola-2, Palpa","N/A","N/A","Public","N/A","N/A"
"Siddha Jyoti Basic School","Bardaghat-16, Parasi","N/A","N/A","Public","N/A","N/A"
"Judi Basic School","Sundarharaicha-11, Morang","N/A","N/A","Public","N/A","N/A"
"Albert Einstein Academy Boarding High School","Jyatha-27, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Sishu Basic School","Daya, Chhabispathivera-2, Bajhang","N/A","N/A","Public","N/A","N/A"
"Bal Krishna Secondary School","Nwaghar, Sigas-7, Baitadi","N/A","N/A","Public","N/A","N/A"
"Sindrurjoda Vidhyashram","Lakshminiya, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Badrukh Basic School","Gaurigaun, Sanni Triveni-6, Kalikot","N/A","N/A","Public","N/A","N/A"
"Lahare Pipal Secondary School","Balewa-6, Baglung","N/A","N/A","Public","N/A","N/A"
"Rakhu North Star English Boarding Basic School","Raghuganga-2, Myagdi","N/A","N/A","Private","N/A","N/A"
"Jagat Aadharbhut Bidhyalaya","Maina, Barekot-4, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Kasturi Basic School","Butingra, Tripurasundari-8, Dolpa","N/A","N/A","Public","N/A","N/A"
"Raghunath Secondary School","Nirauli, Jorayal-6, Doti","N/A","National Examinations Board, CTEVT","Public","N/A","N/A"
"Nepal Rastriya Basic School","Barwa, Devtal-7, Bara","N/A","N/A","Public","N/A","N/A"
"Bhumiraj Basic School","Parigaun, Parashuram-5, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Laxmi Basic School","Laxmipur, Rangeli-2, Morang","N/A","N/A","Public","N/A","N/A"
"Bhumeshwori Secondary School","Khyampu, Nechasalyan-1, Solukhumbu","N/A","N/A","Public","N/A","N/A"
"Shankar Ni Secondary School","Bandala, Barekot-8, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Hari Jana Basic School","Mandal Tole, Bhokraha Narsingh-6, Sunsari","N/A","N/A","Public","N/A","N/A"
"Shree Mahakali Secondary School","Baluwapati, Nagarkot, Mandandeupur-2, Kavrepalanchok","N/A","National Examinations Board","Public","2019 BS","N/A"
"Bright Land Binauna Acadamy","Binauna, Rapti Sonari-5, Banke","N/A","N/A","Private","N/A","N/A"
"Pasupati Basic School","Nisikhola-3, Baglung","N/A","N/A","Public","N/A","N/A"
"Masuriya English Boarding School","Gauriganga-7, Kailali","N/A","N/A","Private","N/A","N/A"
"Chhala Sukuwa Boarding School","Phalgunanda, Panchthar","N/A","N/A","Private","N/A","N/A"
"Nawa Jyoti Basic School","Baidik Nagar, Bharatpur-4, Chitwan","N/A","N/A","Public","N/A","N/A"
"Bhumiraj Secondary School","Iarkot, Naugad-1, Darchula","N/A","N/A","Public","N/A","N/A"
"Arkhawang Secondary School","Arkhabang, Malika-4, Gulmi","N/A","National Examinations Board","Public","N/A","9747040339"
"Saraswati Secondary School","Gharelichaur, Chaurjahari-13, Western Rukum","N/A","National Examinations Board","Public","N/A","N/A"
"Janakalyan Secondary School","Bhimapokhara, Kathekhola-2, Baglung","N/A","National Examinations Board","Public","N/A","9857620811"
"Shree Saraswati Basic School","Khadahi Tole, Barju-3, Sunsari","N/A","N/A","Public","N/A","N/A"
"Nawa Jyoti Basic School, Rajghat","Krishnapur-8, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Bhawani Basic School","Gajada, Purbichauki-7, Doti","N/A","N/A","Public","N/A","N/A"
"Dhunkharka English Boarding School","Bethanchowk-2, Kavrepalanchok","N/A","N/A","Private","N/A","N/A"
"Shiv Bhawani Basic School","Tallabhatada, Bitthadchir-5, Bajhang","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Keshoriya, Katahari-6, Morang","N/A","N/A","Public","N/A","N/A"
"Shree Kaphalchaur Secondary School","Durlung, Kushma-3, Parbat","N/A","National Examinations Board","Public","N/A","068-690607"
"Ne. Ra. Aadharbhut Vidyalaya Sipura","Sipura, Baragadhi-3, Bara","N/A","N/A","Public","N/A","N/A"
"Shree Sarada Basic School","Dewanganj-1, Sunsari","N/A","N/A","Public","N/A","N/A"
"Goganpani Secondary School","Goganpani, Galchhi-8, Dhading","N/A","N/A","Public","N/A","N/A"
"Shree Gauri Bhawani Secondary School","Banganga-3, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Bk Awasiya English Boarding School","Harakathawa, Dhankaul-5, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Madarsa Taibun Banat Yatama","Chhipaharmai, Parsa","N/A","N/A","Religious","N/A","N/A"
"Dhari Basic School","Ligri, Bitthadchir-9, Bajhang","N/A","N/A","Public","N/A","N/A"
"Bishnu Secondary School","Mulechau, Badikedar-3, Doti","N/A","N/A","Public","N/A","N/A"
"Basic School Banaula Ranjitpur","Ranjitpur, Dakneshwori-10, Saptari","N/A","N/A","Public","N/A","N/A"
"Basic School Janaki","Janakinagar, Godaita-9, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Nepal Rashtriya Aadharbhut Vidhalaya Damar","Damar, Aadarsh Kotwal-6, Bara","N/A","N/A","Public","N/A","N/A"
"Janashakti Secondary School","Baneli Danda, Namjung, Shahid Lakhan-9, Gorkha","N/A","National Examinations Board","Public","N/A","98469067649"
"Ne. Ra. Basic School Dhaulagiri","Dhaulagiri, Khajura-3, Banke","N/A","N/A","Public","N/A","N/A"
"South Point English School","Kamdi, Duduwa-5, Banke","N/A","N/A","Private","N/A","N/A"
"Bhairawashram Secondary School","Fujel, Amdada, Gandaki-3, Gorkha","N/A","National Examinations Board, CTEVT","Public","2016 B.S.","16915987"
"Rajaji English Boarding School","Dewanganj, Sunsari","N/A","N/A","Private","N/A","N/A"
"Samata School","Phungling-2, Taplejung","N/A","N/A","Private","N/A","N/A"
"Balika English Boarding School","Gauriganga-5, Kailali","N/A","N/A","Private","N/A","N/A"
"Durga Aadharbhut Vidyalaya","Mahataragau, Bheri-11, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Himalaya Secondary School","Okharwas, Narayan-10, Dailekh","N/A","N/A","Public","N/A","N/A"
"Jharlang Secondary School","Mengang, Khaniyabas-2, Dhading","N/A","N/A","Public","N/A","N/A"
"Aadarsh Montessori Boarding School","Ganjari, Sigas-2, Baitadi","N/A","N/A","Private","N/A","N/A"
"Nareshwor Udhamshil Secondary School","Prabusthan, Dullu-2, Dailekh","N/A","N/A","Public","N/A","N/A"
"Saraswati Bal Bodhinee Secondary School","Markhu, Indrasarowar-1, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Madarsa Darul Uloom Qasmi Barkati Lagdi Gadiyani","Lagadi Gadiyani-20, Siraha","N/A","N/A","Religious","N/A","N/A"
"Great Peace English School","Jhabaraha, Parsagadhi-3, Parsa","N/A","N/A","Private","N/A","N/A"
"Glorious English Boarding School","Hatiya, Bhumikasthan-6, Arghakhanchi","N/A","N/A","Private","N/A","N/A"
"Bheri Educational Academy","Birendranagar-3, Surkhet","N/A","N/A","Private","N/A","N/A"
"Karkateshwar Secondary School","Simchaur, Bogatan Phudsil-1, Doti","N/A","N/A","Public","N/A","N/A"
"Shree Banskharaka Secondary School","Benighat Rorang-1, Dhading","N/A","N/A","Public","N/A","N/A"
"Achievers English Boarding School","Jagdishpur-10, Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Sharada Secondary School","Myalpokhara, Chandrakot-7, Gulmi","N/A","National Examinations Board","Public","N/A","N/A"
"Jyoti Vidya Mandir","Tilkeni-8, Ilam","N/A","N/A","Private","N/A","N/A"
"Janajati Basic School Bateshwar","Bengali Tol, Bateshwor-4, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Basic School Malhaniya","Malhaniya Inaruwa, Janaknandani-3, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Pancha Kanya Secondary School","Chhap Tusal, Budhanilakantha-5, Kathmandu","N/A","N/A","Public","N/A","N/A"
"Chandra Bindu International English Boarding School","Basundhara, Tokha-5, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Kameswori Secondary School","Turmakhad-6, Achham","N/A","N/A","Public","N/A","N/A"
"Birendrodaya Secondary School","Bhumesthan Mukli, Thulung Dudhkoshi-6, Solukhumbu","N/A","N/A","Public","N/A","N/A"
"Children Public School","Lakshminiya, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Harihar Janta Basic School","Jankinagar, Haripur-1, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Mahadev Primary School","Yamunamai-1, Rautahat","N/A","N/A","Public","N/A","N/A"
"Aadharvut Vidayalya Ravidas","Mudali, Kalikamai-1, Parsa","N/A","N/A","Public","N/A","N/A"
"Janahit Pawanlal Basic School Banarjhula","Banarjhula, Khadak-3, Saptari","N/A","N/A","Public","N/A","N/A"
"Madarsa Misbahul Olum Alsalfiya","Gaidahawa-2, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Laligurans Secondary School","Naumule-5, Dailekh","N/A","N/A","Public","N/A","N/A"
"Shree Saraswati Secondary School","Wairi, Dungeshwor-6, Dailekh","N/A","National Examinations Board","Public","N/A","N/A"
"Saraswoti Secondary School, Sallebasa","Sallebasa Siddhapur, Patan-10, Baitadi","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School","Tediya, Rajapur-3, Bardiya","N/A","N/A","Public","N/A","N/A"
"Shree Ne. Ra. Aadharbhut Bidhalya, Bishambharpur","Bisambharpur, Kalaiya-11, Bara","N/A","N/A","Public","N/A","N/A"
"Bal Kumari English Boarding School","Madhuwan-4, Bardiya","N/A","N/A","Private","N/A","N/A"
"Shree Janata Adharbhut Bidhyalay Judi Bazar","Judi Bazar, Ganeshman Charnath-2, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Rastriya Basic School","Buddhabhumi-7, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Alipatti, Pipara-2, Mahottari","N/A","N/A","Public","N/A","N/A"
"Capitol Hill Academy Secondary School","Teku-12, Kathmandu","N/A","National Examinations Board","Private","N/A","01-4212399, 01-4221136"
"Sunshine (SS) Secondary School","Naya Thimi, Madhyapur Thimi-4, Bhaktapur","N/A","National Examinations Board","Private","N/A","015639065, 015639470"
"English Preparatory School","Lagantole-22, Kathmandu","N/A","N/A","Private","1967 AD","01-4470656"
"The Little Star English Boarding School","Siraha","N/A","N/A","Private","N/A","N/A"
"Siddha Secondary School","Bhadare, Siddha Kumakh-2, Salyan","N/A","N/A","Public","N/A","N/A"
"Basic School Rhauthaut","Rhauthaut, Balan-Bihul-6, Saptari","N/A","N/A","Public","N/A","N/A"
"Shree Bhrikuti Secondary School","Bhedi Khor, Badigad-8, Baglung","N/A","N/A","Public","N/A","N/A"
"Janakalyan Secondary School","Tarubhatera, Chhatradev-7, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Laxmipura Basic School, Sisahaniya","Sisahaniya, Pratappur-1, Parasi","N/A","N/A","Public","N/A","N/A"
"Valley Public English School","Gadhawa-6, Dang","N/A","N/A","Public","N/A","N/A"
"Bhawani Aadharbhut Vidyalaya, Berukada","Berukada, Bungal-3, Bajhang","N/A","N/A","Religious","N/A","N/A"
"Maa Saraswati Education Foundation","Maguramadhi, Mechinagar-9, Jhapa","N/A","N/A","Private","N/A","N/A"
"Bright Star English Boarding School","Motiyabari, Bhadrapur-6, Jhapa","N/A","N/A","Private","N/A","N/A"
"Gyandeep Shiksha Sadan","Gaurinagar-7-7, Kathmandu","N/A","N/A","Private","N/A","01-4114889, 9841282302"
"Sonamai Basic School Bhoel","Voil, Aurahi-7, Mahottari","N/A","N/A","Public","N/A","N/A"
"Rahamaniya Madrassa","Dhanpalthan-4, Morang","N/A","N/A","Religious","N/A","N/A"
"Gupteshwor Secondary School","Nallu, Dungesundarpani, Konjyosom-4, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Balbalika Secondary School","Nauiakharka, Sakela-4, Khotang","N/A","N/A","Public","N/A","N/A"
"Jamiya Arabiya Miftaul Ulom","Nepalgunj-3, Banke","N/A","N/A","Religious","N/A","N/A"
"Bageshori Western English Medium School","Madui, Rapti Sonari-2, Banke","N/A","N/A","Private","N/A","N/A"
"Gyanodaya Basic School","Sirthauli, Marin-2, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Chandeshwori Basic School","Wasigacha-7, Bhaktapur","N/A","N/A","Public","N/A","N/A"
"Modern Secondary School, Boradandi","Dhangadhi-3, Kailali","N/A","N/A","Private","N/A","N/A"
"Rastriya Secondary School, Shreepur Palsa","Palsa, Mohanyal-5, Kailali","N/A","N/A","Public","N/A","N/A"
"Kedareshwor Basic School","Chanaura, Gauriganga-1, Kailali","N/A","N/A","Public","N/A","N/A"
"Pharsawa Takura Secondary School","Khidim, Farsawa Takura, Panini-3, Arghakhanchi","N/A","N/A","Public","N/A","429355"
"Gurukul Academy","Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Chunadevi Secondary School","Changu, Changunarayan-6, Bhaktapur","N/A","N/A","Public","N/A","N/A"
"Devi Mai Basic School Lakhanpur","Lakhanpur, Sakhuwa Prasauni-6, Parsa","N/A","N/A","Public","N/A","N/A"
"Shree Ne. Ra. Basic School Jagarnathpur","Jagarnathpur, Dhobini-5, Parsa","N/A","N/A","Public","N/A","N/A"
"Dharma Bhakta Basic School","Managaun-8, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Okharbot Secondary School","Malika-4, Myagdi","N/A","N/A","Public","N/A","N/A"
"Bhagawati Secondary School","Udayapur, Shadananda-5, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Anugraha Pathshala","Piperkoti, Joshipur-1, Kailali","N/A","N/A","Private","N/A","N/A"
"Shiv Namuna Basic School","Kuchaini, Gauriganga-3, Kailali","N/A","N/A","Public","N/A","N/A"
"Madrasa Ikra Al Islamiya","Gaidahawa-2, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Bisheshwar Basic School","Tribeni, Darma-5, Salyan","N/A","N/A","Public","N/A","N/A"
"Bhumi Vikash Basic School Sarngkot","Sarangkot, Mallarani-5, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Sarwajanik Basic School Choharwa","Choharwa Chowk, Naraha-3, Siraha","N/A","N/A","Public","N/A","N/A"
"Chandrodaya Basic School","Jabang, Runtigadhi-3, Rolpa","N/A","N/A","Public","N/A","N/A"
"Janata Basic School Birnagar","Surunga-4, Saptari","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School","Nakauli, Hetauda-1, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Reknown English Boarding School Trivani Chowk","Dhangadhi-1, Kailali","N/A","N/A","Private","N/A","N/A"
"Kalika Basic School","Layata, Chaurjahari-8, Western Rukum","N/A","N/A","Public","N/A","N/A"
"New Mini Valley English Boarding School","Phulbari, Tulsipur-13, Dang","N/A","N/A","Private","N/A","N/A"
"Shanti Niketan Secondary School","Ryale, Panauti-1, Kavrepalanchok","N/A","National Examinations Board","Public","N/A","N/A"
"Aljaiyatul Islamiya Rajaul Uloom Madrassa","Puraina, Nepalgunj-22, Banke","N/A","N/A","Religious","N/A","N/A"
"Biddhya Academy","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Lalit Kalyan Kendra Lower Secondary School","Bhol Dhoka-9, Lalitpur","N/A","N/A","Public","N/A","01-5551076"
"Shivalaya Secondary School, Chermading","Chhermading, Khijidemba-9, Okhaldhunga","N/A","N/A","Public","N/A","N/A"
"Naulingeshori Basic School","Nagidada, Panchpokhari Thangpal-8, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Sanjiwani Secondary School","Patle, Doramba Shailung-1, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Madrassa Ahle Sunnat Badrul Uloom Bishunpur","Shivaraj-8, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Jeevan Jyoti Academy School","Beluwabojhi, Tikapur-6, Kailali","N/A","N/A","Private","N/A","N/A"
"Jana Kalyan Secondary School, Rangkot","Paribartan-5, Rolpa","N/A","N/A","Public","N/A","N/A"
"Ganesh Basic School","Lumbini Sanskritik-13, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Mukti Basic School","Muktinagar, Kohalpur-2, Banke","N/A","N/A","Public","N/A","N/A"
"Basic School","Ghartigaun, Bangad Kupinde-2, Salyan","N/A","N/A","Public","N/A","N/A"
"Devi Mandir Secondary School","Pobang, Sunchhahari-5, Rolpa","N/A","N/A","Public","N/A","N/A"
"Aa Vi Murme","Udayapurgadhi-1, Udayapur","N/A","N/A","Public","N/A","N/A"
"Himalaya Basic School","Bankasia Diwa, Kanchan-4, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Koilichari Secondary School","Luma Okharpata, Kanakasundari-3, Jumla","N/A","N/A","Public","N/A","N/A"
"Shree Marming Secondary School","Marming, Bhotekoshi-5, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Adharbhut Maktab Islahul Lesan","Bishrampur, Bahudarmai-1, Parsa","N/A","N/A","Public","N/A","N/A"
"Janajyoti Basic School","Amalchauri, Chaudandigadhi-4, Udayapur","N/A","N/A","Public","N/A","N/A"
"Madrassa Rahmaniya Birpur","Birpur, Khadak-6, Saptari","N/A","N/A","Public","N/A","N/A"
"Gyankunja Secondary School","Pachrukhi, Dudhauli-4, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Seti Devi Secondary School","Gunsal, Doramba Shailung-5, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Lotus Academy","Hetauda, Makwanpur","N/A","N/A","Private","N/A","N/A"
"Balodaya Basic School","Khutta, Jantedhunga-5, Khotang","N/A","N/A","Public","N/A","N/A"
"Panch Jyoti Basic School","Galwal, Dhakari-6, Achham","N/A","N/A","Public","N/A","N/A"
"Purna Chandrodaya Secondary School","Kulakatne, Thalara-9, Bajhang","N/A","N/A","Public","N/A","N/A"
"Vision Academy","Lamkichuha-8, Kailali","N/A","N/A","Private","N/A","N/A"
"Kshetra Paleswory Secondary School","Tipeni, Panchpokhari Thangpal-7, Sindhupalchok","N/A","National Examinations Board","Public","N/A","N/A"
"Bajrang Basic School","Nausaybhigha, Dhanushadham-5, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Pipal Dada Secondary School","Taruka, Tarkeshwar-3, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Banganga Boarding School","Pipara, Banganga-2, Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Light of Asia English Boarding School","Pakadi, Mayadevi-1, Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Pipalkot Basic School","Baddala, Raskot-9, Kalikot","N/A","N/A","Public","N/A","N/A"
"Punyamata Secondary School","Betini, Siddhicharan-5, Okhaldhunga","N/A","National Examinations Board","Public","N/A","9741046004"
"Himalaya Basic School, Thakunna","Masta-7, Bajhang","N/A","N/A","Public","N/A","N/A"
"Saraswoti Secondary School","Thaprek, Shuklagandaki-1, Tanahun","N/A","National Examinations Board","Public","2012 BS","N/A"
"Dhulluliuwa Secondary School","Dhullubaskot, Bareng-1, Baglung","N/A","N/A","Public","N/A","N/A"
"Radhika Secondary School","Urlabari-7, Morang","N/A","N/A","Public","N/A","N/A"
"Bal Secondary School","Bhirkot, Sunapati-5, Ramechhap","N/A","National Examinations Board","Public","N/A","048-690339"
"Shree Nepal National Secondary School, Shova","Shova, Chhayanath Rara-12, Mugu","N/A","N/A","Public","N/A","N/A"
"Nation Educaton Academy Maruwa","Katari-4, Udayapur","N/A","N/A","Private","N/A","N/A"
"Buddha Academy","Beni-2, Myagdi","N/A","N/A","Private","N/A","N/A"
